S.No.,State,City,Station Name,Current AQI value
199,,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",84.3
200,,Koppal,"Diwator Nagar, Koppal - KSPCB",52
201,,Madikeri,"Stuart Hill, Madikeri - KSPCB",32
202,,Mangalore,"Kadri, Mangalore - KSPCB",90
203,,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",58
204,,Raichur,"Haji Colony, Raichur - KSPCB",123
205,,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",52
206,,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",51
207,,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",126
208,,Udupi,"Brahmagiri, Udupi - KSPCB",77
209,,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",84.3
210,,Yadgir,"Collector Office, Yadgir - KSPCB",62
211,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",84.3
212,,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",84.3
213,,Kannur,"Thavakkara, Kannur - Kerala PCB",54
214,,Kochi,"Vyttila, Kochi - Kerala PCB",84.3
215,,Kollam,"Polayathode, Kollam - Kerala PCB",84.3
216,,Kozhikode,"Palayam, Kozhikode - Kerala PCB",84.3
217,,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",67
218,,,"Plammoodu, Thiruvananthapuram - Kerala PCB",94
219,,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",63
220,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",108
221,,,"Paryavaran Parisar, Bhopal - MPPCB",126
222,,,"T T Nagar, Bhopal - MPPCB",129
223,,Damoh,"Shrivastav Colony, Damoh - MPPCB",50
224,,Dewas,"Bhopal Chauraha, Dewas - MPPCB",112
225,,Gwalior,"City Center, Gwalior - MPPCB",113
226,,,"Deen Dayal Nagar, Gwalior - MPPCB",124
227,,,"Maharaj Bada, Gwalior - MPPCB",109
228,,,"Phool Bagh, Gwalior - Mondelez Ind. Food",84.3
229,,Indore,"Airport Area, Indore - IMC",66
230,,,"Chhoti Gwaltoli, Indore - MPPCB",116
231,,,"Maguda Nagar, Indore - IMC",84.3
232,,,"Regional Park, Indore - IMC",84.3
233,,,"Residency Area, Indore - IMC",84.3
234,,,"Vijay Nagar Scheme-78, Indore - Glenmark",52
235,,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",54
