S.No.,State,City,Station Name,Current AQI value
531,,Varanasi,"Bhelupur, Varanasi - UPPCB",35
532,,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",41
533,,Varanasi,"Maldahiya, Varanasi - UPPCB",61
534,,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",84.3
535,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",74
536,,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",36
537,,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",52
538,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",235
539,,Asansol,"Evelyn Lodge, Asansol - WBPCB",166
540,,Asansol,"Mahabir Colliery, Asansol - WBPCB",160
541,,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",203
542,,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",140
543,,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",169
544,,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",140
545,,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",254
546,,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",94
547,,Howrah,"Belur Math, Howrah - WBPCB",114
548,,Howrah,"Botanical Garden, Howrah - WBPCB",115
549,,Howrah,"Dasnagar, Howrah - WBPCB",145
550,,Howrah,"Ghusuri, Howrah - WBPCB",105
551,,Howrah,"Padmapukur, Howrah - WBPCB",149
552,,Kolkata,"Ballygunge, Kolkata - WBPCB",111
553,,Kolkata,"Bidhannagar, Kolkata - WBPCB",72
554,,Kolkata,"Fort William, Kolkata - WBPCB",102
555,,Kolkata,"Jadavpur, Kolkata - WBPCB",84
556,,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",98
557,,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",92
558,,Kolkata,"Victoria, Kolkata - WBPCB",110
559,,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",84.3
